miRNA	Metabolite	coef_Endo2
hsa-miR-5010-5p	10-nonadecenoate	-0.496632062
hsa-miR-505-3p	10-nonadecenoate	-0.597902854
hsa-miR-548av-5pXhsa-miR-548k	10-nonadecenoate	-0.6747167
hsa-miR-550a-3-5p	10-nonadecenoate	-0.071030107
hsa-miR-574-3p	10-nonadecenoate	-0.508934709
hsa-miR-576-5p	10-nonadecenoate	-0.412739408
hsa-miR-577	10-nonadecenoate	-0.857753521
hsa-miR-584-5p	10-nonadecenoate	-0.285120913
hsa-miR-605-3p	10-nonadecenoate	-0.472226118
hsa-miR-625-3p	10-nonadecenoate	-0.412210787
hsa-miR-629-5p	10-nonadecenoate	-0.565381087
hsa-miR-654-3p	10-nonadecenoate	-0.739074092
hsa-miR-654-5p	10-nonadecenoate	-0.705135794
hsa-miR-660-5p	10-nonadecenoate	-0.765171025
hsa-miR-6842-3p	10-nonadecenoate	-0.551748542
hsa-miR-6852-5p	10-nonadecenoate	-0.523737895
hsa-miR-744-5p	10-nonadecenoate	-0.451689377
hsa-miR-7-5p	10-nonadecenoate	-0.447992941
hsa-miR-766-3p	10-nonadecenoate	-0.504437503
hsa-miR-766-5p	10-nonadecenoate	-0.492061556
hsa-miR-7706	10-nonadecenoate	-0.323449088
hsa-miR-889-3p	10-nonadecenoate	-1.00388092
hsa-miR-92b-5p	10-nonadecenoate	-0.25439539
hsa-miR-98-5p	10-nonadecenoate	-0.399777824
hsa-miR-181a-5p	11-HDoHE	0.263795501
hsa-miR-320a-3p	11-HDoHE	-0.215467969
hsa-miR-320c	11-HDoHE	-0.273235339
hsa-miR-664a-5p	11-HDoHE	0.658582745
hsa-let-7b-5p	12.13-diHOME	-0.204379569
hsa-let-7c-5p	12.13-diHOME	-0.557311811
hsa-let-7d-5p	12.13-diHOME	-0.317828959
hsa-let-7e-5p	12.13-diHOME	-0.410863668
hsa-let-7g-5p	12.13-diHOME	-0.41566935
hsa-miR-10a-5p	12.13-diHOME	0.175685274
hsa-miR-10b-3p	12.13-diHOME	-0.909902816
hsa-miR-1180-3p	12.13-diHOME	-0.664253606
hsa-miR-1292-5p	12.13-diHOME	-0.531417856
hsa-miR-130b-5p	12.13-diHOME	-0.832816109
hsa-miR-136-3p	12.13-diHOME	-0.435287146
hsa-miR-1-3p	12.13-diHOME	-0.332104032
hsa-miR-143-3p	12.13-diHOME	0.151582778
hsa-miR-144-3p	12.13-diHOME	-0.817857449
hsa-miR-148b-3p	12.13-diHOME	-0.543390497
hsa-miR-151b	12.13-diHOME	-0.368834963
hsa-miR-152-3p	12.13-diHOME	-0.418709244
hsa-miR-15b-5p	12.13-diHOME	-0.727872716
hsa-miR-185-5p	12.13-diHOME	-0.535104528
hsa-miR-191-5p	12.13-diHOME	0.113350749
hsa-miR-193b-5p	12.13-diHOME	-0.675380799
hsa-miR-199a-3pXhsa-miR-199b-3p	12.13-diHOME	-0.461326525
hsa-miR-204-5p	12.13-diHOME	-0.740718572
hsa-miR-214-3p	12.13-diHOME	-0.889114075
hsa-miR-215-5p	12.13-diHOME	-0.512959681
hsa-miR-224-5p	12.13-diHOME	-0.67495046
hsa-miR-29b-3p	12.13-diHOME	-0.435396017
hsa-miR-30b-5p	12.13-diHOME	-0.880196545
hsa-miR-30c-5p	12.13-diHOME	-0.650809812
hsa-miR-323b-3p	12.13-diHOME	-0.791511571
hsa-miR-328-3p	12.13-diHOME	-0.731763407
hsa-miR-335-5p	12.13-diHOME	-0.568123401
hsa-miR-338-5p	12.13-diHOME	-0.913761834
hsa-miR-340-5p	12.13-diHOME	-0.648714532
hsa-miR-342-3p	12.13-diHOME	-0.436245803
hsa-miR-342-5p	12.13-diHOME	-0.854583898
hsa-miR-3605-5p	12.13-diHOME	-0.510846929
hsa-miR-370-3p	12.13-diHOME	-0.499792179
hsa-miR-374b-5p	12.13-diHOME	-0.60002503
hsa-miR-411-5p	12.13-diHOME	-0.820236128
hsa-miR-432-5p	12.13-diHOME	-0.881826894
hsa-miR-4732-5p	12.13-diHOME	-0.573943678
hsa-miR-4738-3p	12.13-diHOME	-0.698522892
hsa-miR-485-5p	12.13-diHOME	-0.664542995
hsa-miR-493-3p	12.13-diHOME	-0.54021534
hsa-miR-495-3p	12.13-diHOME	-0.339206571
hsa-miR-503-5p	12.13-diHOME	-0.941022127
hsa-miR-543	12.13-diHOME	-0.912691789
hsa-miR-589-5p	12.13-diHOME	-0.970727572
hsa-miR-615-3p	12.13-diHOME	-0.687030214
hsa-miR-642a-3p	12.13-diHOME	-1.084597947
hsa-miR-654-3p	12.13-diHOME	-0.90835269
hsa-miR-654-5p	12.13-diHOME	-0.663785781
hsa-miR-766-5p	12.13-diHOME	-0.576487139
hsa-miR-874-3p	12.13-diHOME	-1.132529704
hsa-miR-143-3p	12-HETE	0.19720213
hsa-miR-146a-5p	12-HETE	0.176240834
hsa-miR-16-5p	12-HETE	0.671313697
hsa-miR-1843	12-HETE	1.022318712
hsa-miR-199a-3pXhsa-miR-199b-3p	12-HETE	0.593237183
hsa-miR-21-3p	12-HETE	0.735985255
hsa-miR-28-5p	12-HETE	0.764831097
hsa-miR-29a-3p	12-HETE	0.492133048
hsa-miR-345-5p	12-HETE	1.209771765
hsa-miR-363-3p	12-HETE	0.480775927
hsa-miR-370-3p	12-HETE	0.853505731
hsa-let-7e-5p	salicylate	0.404606903
hsa-miR-374a-5p	12-HETE	1.010895467
hsa-miR-421	12-HETE	1.22704234
hsa-miR-454-5p	12-HETE	0.885998211
hsa-miR-486-5p	12-HETE	-0.215704785
hsa-miR-501-3p	12-HETE	-0.372527221
hsa-miR-502-3p	12-HETE	0.540318568
